recno,Mm,Cl,n_Cl,[DSP99],z,u_z,q_z,[OII],u_[OII],Hdelta,u_Hdelta,D4000,u_D4000,oRA,oDE,MType,D,magGB,ColGB,spFile,_RA,_DE
527,f,"Cl 0303+17", ,77,0.176, ,2,-38.7, ,0.0, ,2.59, ,32.8,-405.3," ",,,,"cl0303/cl0303ns1_1.fits   ",46.5637,17.2226
668,f,"Cl 0303+17", ,86,0.0, ,1,, ,, ,, ,77.2,-367.9," ",,,,"cl0303/cl0303ns1_2.fits   ",46.5766,17.233
532,f,"Cl 0303+17", ,82,0.1799, ,1,-28.0, ,1.6, ,2.0, ,130.0,-324.0," ",,,,"cl0303/cl0303ns1_3.fits   ",46.592,17.2452
533,f,"Cl 0303+17", ,83,0.7162, ,2,-7.9, ,1.5, ,1.69, ,74.1,-264.8," ",,,,"cl0303/cl0303ns1_5.fits   ",46.5757,17.2616
667,f,"Cl 0303+17", ,85,0.0, ,2,, ,, ,, ,-224.0,-49.6," ",,,,"cl0303/cl0303ew1_3.fits   ",46.489,17.3214
243,c,"Cl 0303+17", ,30,0.4207,:,4,, ,, ,1.73, ,-206.9,-47.9," ",,,,"cl0303/cl0303ew1_4.fits   ",46.494,17.3219
511,f,"Cl 0303+17", ,61,0.5988,:,4,0.0, ,0.0, ,1.41, ,-168.4,-36.8," ",,,,"cl0303/cl0303ew1_6.fits   ",46.5052,17.325
235,c,"Cl 0303+17", ,22,0.4206, ,3,0.0, ,, ,1.89, ,-240.0,-26.5," ",,,,"cl0303/cl0303ew1_2.fits   ",46.4843,17.3278
507,f,"Cl 0303+17", ,57,0.5912, ,3,0.0, ,0.0, ,1.53, ,-253.7,-15.7," ",,,,"cl0303/cl0303ew1_1.fits   ",46.4803,17.3308
263,c,"Cl 0303+17", ,50,0.4226, ,1,, ,, ,1.88, ,80.4,-216.9," ",,,,"cl0303/cl0303ns1_7.fits   ",46.5776,17.2749
264,c,"Cl 0303+17", ,51,0.4186, ,2,-65.7, ,, ,1.29, ,90.3,-194.4," ",,,,"cl0303/cl0303ns1_8.fits   ",46.5804,17.2812
534,f,"Cl 0303+17", ,84,0.5228, ,1,0.0, ,0.0, ,2.12, ,75.2,-176.7," ",,,,"cl0303/cl0303ns1_9.fits   ",46.576,17.2861
252,c,"Cl 0303+17", ,39,0.4236, ,3,-15.1, ,4.3, ,1.47, ,99.5,-154.2," ",,,,"cl0303/cl0303ns1_10.fits  ",46.5831,17.2924
253,c,"Cl 0303+17", ,40,0.4164, ,3,-46.5, ,, ,1.82, ,104.5,-139.9," ",,22.49,1.19,"cl0303/cl0303ns1_11.fits  ",46.5846,17.2963
254,c,"Cl 0303+17", ,41,0.4144,:,3,, ,, ,2.53, ,105.7,-137.9," ",,,,"cl0303/cl0303ns1_12.fits  ",46.5849,17.2969
255,c,"Cl 0303+17", ,42,0.4276, ,1,0.0, ,, ,2.09, ,96.6,-120.0,"SBa",0,20.53,1.56,"cl0303/cl0303ns1_13.fits  ",46.5823,17.3019
218,c,"Cl 0303+17", ,5,0.4157, ,3,0.0, ,8.6, ,1.45, ,104.0,-107.2,"Scd",2,21.59,1.01,"cl0303/cl0303dg92_58.fits ",46.5844,17.3054
